scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65-highREN,TRAKER,2049,56.7129592437358
Mitigation_CAP21_A25E65-highREN,TRAKER,2050,56.9361997818182
Mitigation_CAP21_A25E65-lowBio,TRAKER,2018,45.935836654432
Mitigation_CAP21_A25E65-lowBio,TRAKER,2019,45.9129732746888
Mitigation_CAP21_A25E65-lowBio,TRAKER,2020,46.427531077686
Mitigation_CAP21_A25E65-lowBio,TRAKER,2021,46.9238244938272
Mitigation_CAP21_A25E65-lowBio,TRAKER,2022,47.4023575573771
Mitigation_CAP21_A25E65-lowBio,TRAKER,2023,47.8636204995918
Mitigation_CAP21_A25E65-lowBio,TRAKER,2024,48.3080901463415
Mitigation_CAP21_A25E65-lowBio,TRAKER,2025,48.7362303255061
Mitigation_CAP21_A25E65-lowBio,TRAKER,2026,49.1484921677419
Mitigation_CAP21_A25E65-lowBio,TRAKER,2027,49.5453145253012
Mitigation_CAP21_A25E65-lowBio,TRAKER,2028,49.9271242944
Mitigation_CAP21_A25E65-lowBio,TRAKER,2029,50.2943367585657
Mitigation_CAP21_A25E65-lowBio,TRAKER,2030,50.6473558952381
Mitigation_CAP21_A25E65-lowBio,TRAKER,2031,51.067313567696
Mitigation_CAP21_A25E65-lowBio,TRAKER,2032,51.4745000189573
Mitigation_CAP21_A25E65-lowBio,TRAKER,2033,51.869220964539
Mitigation_CAP21_A25E65-lowBio,TRAKER,2034,52.2517749245283
Mitigation_CAP21_A25E65-lowBio,TRAKER,2035,52.62245344
Mitigation_CAP21_A25E65-lowBio,TRAKER,2036,52.9815411830986
Mitigation_CAP21_A25E65-lowBio,TRAKER,2037,53.3293161686183
Mitigation_CAP21_A25E65-lowBio,TRAKER,2038,53.6660498878505
Mitigation_CAP21_A25E65-lowBio,TRAKER,2039,53.9920074405594
Mitigation_CAP21_A25E65-lowBio,TRAKER,2040,54.3074477488372
Mitigation_CAP21_A25E65-lowBio,TRAKER,2041,54.6126236287703
Mitigation_CAP21_A25E65-lowBio,TRAKER,2042,54.907782
Mitigation_CAP21_A25E65-lowBio,TRAKER,2043,55.1931639907621
Mitigation_CAP21_A25E65-lowBio,TRAKER,2044,55.4690050506912
Mitigation_CAP21_A25E65-lowBio,TRAKER,2045,55.735535154023
Mitigation_CAP21_A25E65-lowBio,TRAKER,2046,55.9929788715596
Mitigation_CAP21_A25E65-lowBio,TRAKER,2047,56.2415555057208
Mitigation_CAP21_A25E65-lowBio,TRAKER,2048,56.4814792420091
Mitigation_CAP21_A25E65-lowBio,TRAKER,2049,56.7129592437358
Mitigation_CAP21_A25E65-lowBio,TRAKER,2050,56.9361997818182
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2018,45.935836654432
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2019,45.9129732746888
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2020,46.427531077686
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2021,46.9238244938272
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2022,47.4023575573771
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2023,47.8636204995918
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2024,48.3080901463415
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2025,48.7362303255061
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2026,49.1484921677419
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2027,49.5453145253012
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2028,49.9271242944
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2029,50.2943367585657
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2030,50.6473558952381
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2031,51.067313567696
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2032,51.4745000189573
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2033,51.869220964539
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2034,52.2517749245283
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2035,52.62245344
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2036,52.9815411830986
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2037,53.3293161686183
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2038,53.6660498878505
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2039,53.9920074405594
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2040,54.3074477488372
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2041,54.6126236287703
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2042,54.907782
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2043,55.1931639907621
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2044,55.4690050506912
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2045,55.735535154023
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2046,55.9929788715596
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2047,56.2415555057208
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2048,56.4814792420091
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2049,56.7129592437358
Mitigation_CAP21_A25E65-techOptimism,TRAKER,2050,56.9361997818182
Mitigation_CAP21_A33E61,TRAKER,2018,45.935836654432
Mitigation_CAP21_A33E61,TRAKER,2019,45.9129732746888
Mitigation_CAP21_A33E61,TRAKER,2020,46.427531077686
Mitigation_CAP21_A33E61,TRAKER,2021,46.9238244938272
Mitigation_CAP21_A33E61,TRAKER,2022,47.4023575573771
Mitigation_CAP21_A33E61,TRAKER,2023,47.8636204995918
Mitigation_CAP21_A33E61,TRAKER,2024,48.3080901463415
Mitigation_CAP21_A33E61,TRAKER,2025,48.7362303255061
Mitigation_CAP21_A33E61,TRAKER,2026,49.1484921677419
Mitigation_CAP21_A33E61,TRAKER,2027,49.5453145253012
